Clock frequency is approx. 2533.6 MHz
Memory mountain (MB/sec)
	s1	s3	s5	s7	s9	s11	s13	s15	s17	s19	s21	s23	s25	s27	s29	s31	
128m	4609	3194	2174	1601	1259	1028	866	746	665	613	575	541	516	500	489	485	
64m	4623	3194	2185	1601	1260	1028	865	744	664	616	578	545	518	504	492	485	
32m	4620	3196	2200	1601	1270	1036	861	753	665	619	580	547	521	506	496	492	
16m	4643	3399	2391	1769	1383	1132	954	824	737	689	659	640	654	677	857	903	
8m	5061	4933	3853	3042	2799	2346	2005	1754	1645	1633	1627	1620	1615	1613	1611	1611	
4m	5059	4930	3858	3038	2799	2345	2005	1754	1644	1635	1626	1621	1616	1613	1613	1613	
2m	5058	4925	3849	3035	2797	2344	2004	1755	1643	1633	1627	1620	1614	1613	1612	1611	
1024k	5049	4911	3852	3032	2794	2346	2006	1754	1645	1635	1630	1618	1616	1615	1610	1614	
512k	5044	4922	3875	3085	2842	2394	2054	1794	1684	1678	1676	1684	1685	1703	1715	1754	
256k	5063	5010	4216	3905	3648	3304	2841	2561	2513	2519	2556	2623	2597	2621	2567	2604	
128k	5065	5060	4528	4424	3864	3457	2958	2636	2645	2619	2635	2629	2635	2676	2643	2641	
64k	5064	5052	4567	4386	3834	3366	2929	2638	2628	2610	2587	2627	3361	3176	3064	3373	
32k	5059	5039	5025	5008	4990	4977	4942	4923	4922	4919	4892	4875	4881	4863	4832	4817	
16k	5050	5020	4976	4941	4926	4887	4837	4803	4803	4789	4705	4698	4715	4625	4580	4581	
8k	5033	4983	4894	4844	4803	4713	4640	4611	4547	4475	4491	4421	4407	4362	4154	4180	
4k	5009	4857	4803	4632	4575	4446	4337	4218	4751	4539	4411	4510	4302	4347	4060	3800	
2k	4932	4695	4467	4203	4638	4531	4324	4102	4000	3987	3840	4336	3665	4319	3695	3484	
1k	4840	4320	4038	4404	3976	3927	4491	3916	3167	3052	2764	3097	2534	2344	2771	2090	
